invno,bill_date,bill_time,bill_amount,payment_mode,cashier_ssn,customer_id
1,9/10/2019,05:50,,cash,718-58-4527,23147
2,10/10/2019,12:00,,cash,858-97-4242,
3,10/18/2019,12:30,,cash,858-97-4242,
4,10/22/2019,01:00,,cash,858-97-4242,64890
5,10/29/2019,02:30,,cash,711-62-2277,
6,08/08/2019,03:00,,cash,711-62-2277,
7,10/09/2019,03:30,,cash,711-62-2277,
8,10/15/2019,04:00,,cash,858-97-4242,
9,10/25/2019,05:00,,cash,718-58-4527,
10,10/31/2019,06:00,,cash,718-58-4527,80570
11,10/03/2019,06:30,,cash,711-62-2277,80738
12,10/10/2019,07:00,,cash,718-58-4527,92688
13,10/14/2019,08:30,,cash,718-58-4527,33320
14,10/15/2019,12:00,,cash,718-58-4527,
15,10/16/2019,12:30,,cash,858-97-4242,
16,10/17/2019,01:00,,cash,858-97-4242,
17,10/18/2019,02:30,,cash,858-97-4242,
18,10/19/2019,03:00,,cash,711-62-2277,
19,10/19/2019,03:30,,cash,711-62-2277,
20,10/19/2019,08:30,,cash,711-62-2277,
21,10/19/2019,07:00,,cash,858-97-4242,
22,10/18/2019,06:30,,cash,718-58-4527,80738
23,10/17/2019,06:00,,cash,718-58-4527,92688
24,10/20/2019,05:00,,cash,711-62-2277,33320
25,10/21/2019,04:00,,cash,718-58-4527,
26,10/21/2019,03:30,,cash,718-58-4527,
27,10/22/2019,02:30,,cash,718-58-4527,
28,10/23/2019,01:00,,cash,858-97-4242,
29,10/23/2019,12:30,,cash,858-97-4242,23147
30,10/24/2019,12:00,,cash,858-97-4242,
31,10/25/2019,06:00,,cash,711-62-2277,
32,10/26/2019,06:30,,cash,711-62-2277,64890
33,10/27/2019,07:00,,cash,711-62-2277,
34,10/30/2019,08:30,,cash,858-97-4242,
35,10/31/2019,07:00,,cash,718-58-4527,
36,11/01/2019,06:30,,cash,718-58-4527,
37,11/02/2019,06:00,,cash,711-62-2277,
38,11/02/2019,05:00,,cash,718-58-4527,
39,11/03/2019,04:00,,cash,718-58-4527,23147
40,11/04/2019,03:30,,cash,718-58-4527,
41,11/05/2019,03:00,,cash,858-97-4242,
42,11/06/2019,02:30,,cash,858-97-4242,64890
43,11/07/2019,01:00,,cash,858-97-4242,
44,11/08/2019,12:30,,cash,711-62-2277,
45,11/09/2019,12:00,,cash,711-62-2277,
46,11/10/2019,05:50,,cash,711-62-2277,
