ssn,shift_name
116851994,Morning
116851994,Noon
166645427,Morning
166645427,Noon
392459112,Evening
392459112,Noon
249614562,Noon
249614562,Evening
718584527,Noon
718584527,Evening
825891347,Noon
516447817,Morning
819541193,Noon
819541193,Evening
838382239,Morning
838382239,Noon
858974242,Noon
858974242,Evening
180727539,Night
175133189,Morning
175133189,Evening
434481316,Noon
434481316,Evening
234615106,Noon
234615106,Evening
730444117,Noon
256451501,Morning
735476379,Morning
839260949,Morning
152712169,Noon
152712169,Evening
711622277,Noon
711622277,Evening
600298120,Noon
600298120,Evening
335032384,Evening
335032384,Morning
425389562,Evening
481550169,Evening
148864870,Morning
148864870,Evening
